浙医二院	169
浙医一院	168
杭州市第一人民医院	199
浙江省人民医院	171
邵逸夫医院	364
浙江省中医院	173
浙江大学医学院附属儿童医院	172
杭州市中医院	187
浙江省立同德医院	175
浙江医院	328
浙江省妇保医院	170
浙江省肿瘤医院	313
浙江省中西医结合医院	386
杭州市第三人民医院	183
浙江中医药大学附属第三医院	180
萧山医院	110
萧山第一人民医院	188
临安区人民医院	108
杭州师范大学附属医院	182
浙江省新华医院	174
余杭第一人民医院	107
浙大口腔医院	178
杭州口腔医院	189
杭州市第七人民医院	185
余杭区第五人民医院	239
富阳人民医院	5
建德医院	72
浙江中医药大学附属江南医院	234
杭州市西溪医院	184
淳安县第一人民医院	96
杭州市肿瘤医院	226
桐庐第一人民医院	95
余杭区妇幼保健院	257
杭州市妇幼保健院	231
余杭中医院	209
杭州市儿童医院	232
杭州武警医院	177
余杭区第二人民医院	59
解放军联勤保障部队第903医院(原117医院)	176
杭钢医院	233
浙江中医药大学附属康复医院	151
桐庐中医院	240
萧山第三人民医院	43
富阳市中医骨伤医院	97
萧山区第二人民医院	324
温医大眼视光医院杭州院区	340
临安中医院	112
杭州江干区人民医院	192
张强医生集团杭州思俊外科诊所	242
萧山第四人民医院	270
下城区中医院	319
余杭区第三人民医院	76
笕桥医院	327
新登中医骨伤科医院	337
仁树医疗	339
建德市第二人民医院	56
安吉县妇幼保健院	344
杭州口腔医院城西分院	350
淳安县中医院	252
优治口腔门诊部	379
下城区中西医结合医院	481
富阳区妇幼保健院	346
淳安县第二人民医院	382
杭州整形医院	186
仁育医院	388
杭州市富阳区中医院	384
浙江大学校医院	80
余杭区良渚医院	8
杭州市老年病医院	244
杭州市萧山区皮肤病医院	393
杭州思睿明诊所	448
转塘街道社区卫生服务中心	569
杭州艾维口腔春江花月门诊部	578
杭州齐尔口腔	579
杭州市富阳区第三人民医院	586
昌化人民医院	351
萧山第六人民医院	316
桐庐第二人民医院	580
青春医院	179
富阳区第二人民医院	385
建德市中医院;建德中医院	254
淳安县妇幼保健院	581
杭州明视康眼科医院	582
杭州醉美桃花源医疗美容诊所	635
瓜沥镇社区卫生服务中心	636
建德市第三人民医院	462
建德市第四人民医院	603
临安市於潜人民医院	492
康桥街道社区卫生服务中心	637
九堡街道社区卫生服务中心	638
杭州市余杭区仓前街道社区卫生服务中心	535
树兰（杭州）医院	122
西湖区留下街道社区卫生服务中心	193
建德市乾潭镇中心卫生院	639
萧山区临浦镇卫生院	640
浙江慈爱康复医院	584
杭州钢铁职工医院	233
杭州美中宜和	641
新安江电力医院	642
浙江省立同德医院之江院区	643
宁波第一医院	56
李惠利医院	138
宁波第二医院	520
宁波市鄞州人民医院	139
余姚市人民医院	44
宁波市妇女儿童医院	79
慈溪市人民医院	45
宁大附院	57
宁波市第四医院	277
宁波中医院	438
宁波市第六医院	78
906医院	1
奉化区人民医院	10
鄞州第二医院	77
李惠利东部医院	31
宁海县第一医院	43
北仑区人民医院	41
宁海妇幼保健院	400
奉化区中医院	140
慈溪市中医院	552
宁波市眼科医院	106
象山县中医医院	207
宁波市第九医院	274
宁波市康宁医院	331
余姚市中医院	27
宁波海曙尚善口腔门诊部	644
宁波市杭州湾医院	541
宁波市第七医院	329
奉化市妇幼保健院	645
宁波市海曙区口腔医院	646
宁海中医院	457
慈溪市第三人民医院	487
宁波市保黎医院	647
宁波市精神病院	253
慈溪市第六人民医院	648
慈溪市妇幼保健院	237
龙赛医院	42
慈林医院	573
象山县红十字台胞医院	406
象山县妇幼保健院	649
宁海县城关医院	431
北仑区中医院	202
慈溪市龙山医院	650
鄞州区第三医院	264
宁波康复医院	432
余姚市第四人民医院	476
镇海区炼化医院	447
余姚市妇幼保健院（余姚市第二人民医院）	414
北仑区第三人民医院	291
镇海区中医医院	348
余姚三院	651
象山县爱心医院	652
慈溪市皮肤病医院	653
海曙区第三医院	654
宁波市江北区慈城镇中心卫生院	655
宁波鄞州齐贝口腔门诊部	656
宁波市江东区明楼街道社区卫生服务中心	657
宁波市海曙区白云街道社区卫生服务中心	658
宁波市北仑区妇幼保健院	659
海曙区妇幼保健院	660
宁波市鄞州区妇幼保健院	661
五乡社区卫生服务中心	662
余姚市凤山街道社区卫生服务中心	663
招宝山街道社区卫生服务中心	442
象山县爵溪街道卫生院	664
宁波市海曙区西门望春社区卫生服务中心	665
钱湖医院	666
滨海新城医院	667
温州医科大学附属第二医院	55
温州医科大学附属第一医院	142
温州医学院附属第三医院	102
温州市中心医院	81
温州市人民医院	54
乐清市人民医院	103
温州中医院	67
温州市中西医结合医院	17
温州医科大学附属眼视光医院	51
平阳县人民医	101
永嘉县人民医院	104
苍南县人民医院	141
瑞安市中医院	66
乐清市第二人民医院	505
平阳县中医院	245
瑞安市妇幼保健院	668
乐清市妇幼保健院	634
瑞安第二人民医院	669
温州市龙湾区第一人民医院	467
永嘉中医院	222
文成县人民医院	105
温州市第七人民医院	221
泰顺县人民医院	387
龙港医院	354
温州市洞头区人民医院	100
乐清市中医院	322
温州康宁医院	62
温州医科大学口腔医学院·附属口腔医院	18
乐清市第三人民医院	482
温州市第六人民医院	670
温州医科大学附属口腔医院	18
瓯海区第三人民医院	523
平阳县第二人民医院	299
鹿城区人民医院	236
瑞安市人民医院红十字分院	617
苍南县第三人民医院	576
瑞安市精神病院	616
永嘉第三人民医院	671
乐清市第五人民医院	672
苍南县中医院	479
永嘉县妇幼保健院	673
瓯海区人民医院	607
温州瓯海区第二人民医院	483
瑞安市第三人民医院	468
郭溪街道社区卫生服务中心	674
桥下镇中心卫生院	675
茶山街道卫生服务中心	676
乐清市芙蓉中心卫生院	677
温州市鹿城区南浦社区卫计服务中心	678
温州市鹿城江滨社区卫计服务中心	679
蒲鞋市社区卫生服务中心	680
瑶溪街道社区服务中心	681
平阳县萧江中心卫生院	682
温州市鹿城精神病医院	608
马屿镇社区卫生服务中心	683
上望卫生院	684
泽雅镇社区卫生服务中心	685
潘桥街道社区卫生服务中心	686
温州118医院	19
瑞安市塘下人民医院	359
嘉兴市第一医院	7
嘉兴市第二医院	13
浙江省荣军医院	272
海宁市人民医院	99
嘉善县第一人民医院	94
平湖市中医院	227
桐乡第一人民医院	87
嘉兴市妇幼保健院	33
海盐县人民医院	98
武警海警总队医院	128
嘉兴中医医院	14
平湖一院	52
平湖市第二人民医院	215
嘉善县中医院	575
海宁市中医院	3
桐乡市第三人民医院	687
海宁市妇幼保健院	334
海宁市中心医院	2
海宁市第四人民医院	336
海宁市第二人民医院	261
桐乡市皮肤病防治院	688
桐乡第二人民医院	469
海盐县妇幼保健计划生育服务中心	401
嘉善县第二人民医院	472
桐乡市中医院	12
桐乡市高桥镇中心卫生院	689
嘉兴市第二医院南湖分院	690
海盐县中医院	6
桐乡市第四人民医院	691
桐乡市妇幼保健院	692
嘉兴市第一医院王江泾分院	693
嘉善县第三人民医院	449
平湖市妇幼保健医院	694
嘉兴市康慈医院	500
嘉兴市王店人民医院	695
西塘桥街道社区卫生服务中心	696
平湖市当湖中心医院	697
秦山街道社区卫生服务中心	698
海盐县口腔医院	699
新塍医院	700
嘉兴雅仁口腔门诊部	701
金华市中心医院	134
东阳市人民医院	136
义乌中心医院	129
永康市第一人民医院	38
金华人民医院	86
兰溪市人民医院	135
金华市中医院	93
武义县第一人民医院	35
浙医四院	65
东阳市中医院	73
浦江人民医院	36
义乌中医院	130
义乌市妇幼保健院	32
磐安县人民医院	37
武义县妇幼保健院	702
义乌市第二人民医院	251
永康市妇幼保健院	259
金华市第五医院	69
金华市妇幼保健院	283
义乌市稠城中心卫生院	504
金华第二医院	268
东阳市妇保院	495
永康市中医院	263
永康市永康医院	330
东阳市红十字会医院	375
义乌市精神卫生中心	577
永康第二人民医院	459
永康市骨科医院	478
兰溪市中医院	703
义乌市皮肤病医院	704
兰溪市妇幼保健计划生育服务中心	345
横店医院	314
东阳市第七人民医院	21
武义县中医院	540
后宅街道社区卫生服务中心	519
东阳市人民医院巍山分院	20
义乌市江东街道社区卫生服务中心	705
兰溪市皮肤病防治站	706
金华市婺城区城中街道社区卫生服务中心	707
浦江县中医院	708
台州医院	709
温岭市第一人民医院	710
台州市立医院	711
台州中心医院	712
台州市第一人民医院	713
天台县人民医院	714
浙江中医药大学附属温岭中医院	715
三门县人民医院	716
玉环市人民医院	717
路桥医院	718
仙居县人民医院	719
台州市中医院	720
台州恩泽医院	721
温岭市第二人民医院	722
台州骨伤医院	723
玉环市第二人民医院	724
台州医院恩泽妇产医院	725
仙居县妇幼保健院	726
天台县妇幼保健计划生育服务中心	727
温岭市妇幼保健院	728
台州市第二人民医院	729
台州市中西医结合医院	730
临海市第二人民医院	731
临海市第一人民医院	732
温岭四院	733
台州妇女儿童医院	734
台州市路桥区第二人民医院	735
黄岩中医院	736
温岭市精神康复医院	737
仙居县中医院	738
台州市黄岩区第三人民医院	739
天台县中医院	740
临海市中医院	741
黄岩区妇幼保健院	742
玉环市中医院	743
路桥区中医院	744
路桥区第三人民医院	745
绍兴市人民医院	123
诸暨市人民医院	131
绍兴市中心医院	269
新昌县人民医院	132
绍兴第二医院	124
嵊州市人民医院	589
绍兴市上虞人民医院	133
诸暨市中医医院	4
绍兴市妇女儿童医院	218
绍兴市中医院	228
嵊州中医院	404
绍兴市立医院	217
上虞妇保医院	493
绍兴市中西医结合医院	212
绍兴市精神病院	574
绍兴市上虞中医医院	247
诸暨市第三人民医院	363
嵊州妇幼保健院	455
诸暨市中心医院	497
绍兴市口腔医院	746
诸暨第五人民医院	747
柯桥区妇幼保健院	748
新昌县中医院	471
绍兴第三医院	749
诸暨市妇幼保健院	595
诸暨市第六人民医院	355
诸暨市第二人民医院	750
诸暨市第四人民医院	498
上虞第二人民医院	374
越城区人民医院	585
诸暨市红十字医院	751
次坞镇中心卫生院	752
诸暨市浬浦镇中心卫生院	753
道墟镇卫生院	754
绍兴市柯桥区平水镇卫生院	755
湖州中心医院	137
长兴县人民医院	49
长兴中医院	213
湖州中医院	60
湖州市第一人民医院	46
安吉人民医院	381
湖州市妇幼保健院	290
德清县人民医院	266
湖州市第三人民医院	47
长兴县妇幼保健院	214
浙江省皮肤病医院	15
安吉中医院	75
安吉县第三人民医院	756
湖州肛肠医院	757
湖州市南浔区练市人民医院	758
浙江湖州解放军98医院	61
湖州市吴兴区人民医院	759
湖州市南浔区人民医院	48
长兴县皮肤病防治站	760
湖州市双林人民医院	761
德清中医院	16
菱湖人民医院	762
衢州市中心医院	397
龙游人民医院	91
常山县人民医院	267
江山市人民医院	92
衢州市中医院	89
开化县人民医院	318
衢州市第二人民医院	88
衢州市柯城区人民医院	126
江山市中医院	258
浙江衢化医院	125
龙游县妇幼保健院	763
衢州三院	58
龙游县中医院	71
开化县中医院	90
衢州市妇幼保健院	197
江山市妇幼保健院	764
衢江区妇幼保健院	765
同弓乡卫生院	766
衢州区廿里镇中心卫生院	767
江山市清湖镇卫生院	768
衢江区上方中心卫生院	769
丽水市中心医院	770
丽水市人民医院	771
青田县人民医院	772
云和县人民医院	773
遂昌县人民医院	774
龙泉市人民医院	775
丽水中医院	776
庆元县人民医院	777
松阳县人民医院	778
缙云人民医院	779
丽水妇幼保健院	780
丽水市第二人民医院	781
景宁县人民医院	782
云和县妇幼保健计划生育服务中心	783
云和县中医医院	784
松阳县中医院	785
舟山医院	82
舟山普陀区中医院	83
浙江普陀医院	786
舟山市妇幼保健院	85
舟山市中医院	84
岱山县第一人民医院	39
定海区中心医院	787
岱山中医院	788
东部战区海军医院(原解放军四一三医院)	485
上海新华医院衢山分院	789
舟山市第二人民医院	391
金塘中心卫生院	790
