01-23,浙江,浙江,16,43,1,0,-
01-24,浙江,浙江,19,62,1,0,-
01-25,浙江,浙江,42,104,1,0,-
01-26,浙江,浙江,24,128,1,0,-
01-27,浙江,浙江,45,173,1,0,-
01-28,浙江,浙江,123,296,3,0,-
01-29,浙江,浙江,132,428,4,0,-
01-30,浙江,浙江,109,537,9,0,-
01-31,浙江,浙江,62,599,15,0,-
02-01,浙江,浙江,62,661,23,0,-
02-02,浙江,浙江,63,724,36,0,-
02-03,浙江,浙江,105,829,48,0,-
02-04,浙江,浙江,66,895,63,0,-
02-05,浙江,浙江,59,954,81,0,-
02-06,浙江,浙江,52,1006,98,0,-
02-07,浙江,浙江,42,1048,127,0,-
02-08,浙江,浙江,27,1075,173,0,-
02-09,浙江,浙江,29,1092,201,0,-
02-10,浙江,浙江,25,1117,250,0,-
02-11,浙江,浙江,14,1171,279,0,-
02-12,浙江,浙江,14,1145,327,0,-
02-13,浙江,浙江,10,1155,367,0,-
